"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
375.4,101.3,0.0,0.0,+-0.1,+-0.1,+-0.001,+-0.001
369.9,101.3,0.049,0.09,+-0.1,+-0.1,+-0.001,+-0.001
367.4,101.3,0.082,0.283,+-0.1,+-0.1,+-0.001,+-0.001
365.5,101.3,0.127,0.329,+-0.1,+-0.1,+-0.001,+-0.001
364.2,101.3,0.155,0.381,+-0.1,+-0.1,+-0.001,+-0.001
363.2,101.3,0.181,0.413,+-0.1,+-0.1,+-0.001,+-0.001
361.5,101.3,0.209,0.456,+-0.1,+-0.1,+-0.001,+-0.001
359.8,101.3,0.263,0.507,+-0.1,+-0.1,+-0.001,+-0.001
356.0,101.3,0.39,0.62,+-0.1,+-0.1,+-0.001,+-0.001
351.9,101.3,0.508,0.735,+-0.1,+-0.1,+-0.001,+-0.001
349.7,101.3,0.58,0.764,+-0.1,+-0.1,+-0.001,+-0.001
346.6,101.3,0.707,0.829,+-0.1,+-0.1,+-0.001,+-0.001
345.9,101.3,0.741,0.849,+-0.1,+-0.1,+-0.001,+-0.001
344.9,101.3,0.793,0.875,+-0.1,+-0.1,+-0.001,+-0.001
344.2,101.3,0.831,0.894,+-0.1,+-0.1,+-0.001,+-0.001
343.6,101.3,0.865,0.909,+-0.1,+-0.1,+-0.001,+-0.001
342.2,101.3,0.906,0.951,+-0.1,+-0.1,+-0.001,+-0.001
341.1,101.3,1.0,1.0,+-0.1,+-0.1,+-0.001,+-0.001
