"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
96.9,760,0.965,0.966,,+-2,,
96.9,760,0.935,0.936,,+-2,,
96.9,760,0.871,0.888,,+-2,,
96.9,760,0.886,0.894,,+-2,,
97.2,760,0.796,0.844,,+-2,,
97.7,760,0.712,0.811,,+-2,,
98.2,760,0.647,0.794,,+-2,,
99.1,760,0.546,0.772,,+-2,,
100.0,760,0.454,0.753,,+-2,,
100.8,760,0.409,0.753,,+-2,,
102.6,760,0.323,0.723,,+-2,,
104.1,760,0.263,0.688,,+-2,,
106.8,760,0.185,0.656,,+-2,,
109.3,760,0.15,0.618,,+-2,,
111.8,760,0.123,0.586,,+-2,,
114.5,760,0.1,0.496,,+-2,,
