"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
388.15,0.2388,0.0,0.0,+-0.02,+-0.0002,+-0.003,+-0.003
388.15,0.2598,0.03,0.151,+-0.02,+-0.0002,+-0.003,+-0.003
388.15,0.2948,0.084,0.279,+-0.02,+-0.0002,+-0.003,+-0.003
388.15,0.3276,0.136,0.397,+-0.02,+-0.0002,+-0.003,+-0.003
388.15,0.3858,0.221,0.562,+-0.02,+-0.0002,+-0.003,+-0.003
388.15,0.4272,0.292,0.638,+-0.02,+-0.0002,+-0.003,+-0.003
388.15,0.4585,0.354,0.692,+-0.02,+-0.0002,+-0.003,+-0.003
388.15,0.5294,0.468,0.765,+-0.02,+-0.0002,+-0.003,+-0.003
388.15,0.6218,0.623,0.866,+-0.02,+-0.0002,+-0.003,+-0.003
388.15,0.6933,0.734,0.922,+-0.02,+-0.0002,+-0.003,+-0.003
388.15,0.7621,0.853,0.962,+-0.02,+-0.0002,+-0.003,+-0.003
388.15,0.8145,0.937,0.986,+-0.02,+-0.0002,+-0.003,+-0.003
388.15,0.8381,0.983,0.997,+-0.02,+-0.0002,+-0.003,+-0.003
388.15,0.8477,1.0,1.0,+-0.02,+-0.0002,+-0.003,+-0.003
