"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
313.15,43.85,0.0,0.0,+-0.05,+-0.05,,
313.15,42.5,0.065,0.025,+-0.05,+-0.05,,
313.15,41.45,0.09,0.04,+-0.05,+-0.05,,
313.15,40.4,0.143,0.08,+-0.05,+-0.05,,
313.15,38.85,0.2,0.127,+-0.05,+-0.05,,
313.15,37.15,0.277,0.202,+-0.05,+-0.05,,
313.15,36.35,0.347,0.285,+-0.05,+-0.05,,
313.15,35.2,0.438,0.412,+-0.05,+-0.05,,
313.15,35.3,0.526,0.553,+-0.05,+-0.05,,
313.15,36.65,0.633,0.718,+-0.05,+-0.05,,
313.15,38.5,0.71,0.81,+-0.05,+-0.05,,
313.15,39.85,0.749,0.853,+-0.05,+-0.05,,
313.15,42.1,0.823,0.92,+-0.05,+-0.05,,
313.15,43.8,0.86,0.95,+-0.05,+-0.05,,
313.15,45.5,0.911,0.968,+-0.05,+-0.05,,
313.15,47.1,0.96,0.99,+-0.05,+-0.05,,
313.15,48.1,1.0,1.0,+-0.05,+-0.05,,
