"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
368.15,0.1607,0.0,0.0,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.253,0.099,0.422,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.2898,0.131,0.503,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.3441,0.194,0.607,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.4216,0.302,0.746,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.5012,0.411,0.83,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.5649,0.459,0.856,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.5911,0.528,0.89,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.6539,0.577,0.907,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.6719,0.652,0.931,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.7291,0.724,0.944,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.7617,0.768,0.946,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.7754,0.781,0.956,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.833,0.87,0.974,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.8657,0.925,0.985,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.9119,0.984,0.996,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.9172,1.0,1.0,+-0.02,+-0.0002,+-0.003,+-0.003
