"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
300.07,4.48,1.0,,,,,
300.07,17.52,0.923,,,,,
300.07,18.89,0.913,,,,,
300.07,26.98,0.848,,,,,
300.07,27.41,0.84,,,,,
300.07,29.27,0.822,,,,,
300.07,34.4,0.773,,,,,
300.07,37.73,0.744,,,,,
300.07,39.82,0.725,,,,,
300.07,40.92,0.717,,,,,
300.07,46.13,0.656,,,,,
300.07,49.13,0.64,,,,,
300.07,49.13,0.633,,,,,
300.07,51.42,0.622,,,,,
300.07,56.15,0.579,,,,,
300.07,55.4,0.579,,,,,
300.07,58.19,0.566,,,,,
300.07,64.81,0.513,,,,,
300.07,68.1,0.474,,,,,
300.07,71.25,0.469,,,,,
300.07,76.63,0.435,,,,,
300.07,77.06,0.429,,,,,
300.07,82.98,0.386,,,,,
300.07,85.27,0.354,,,,,
300.07,89.92,0.348,,,,,
300.07,86.85,0.346,,,,,
300.07,105.53,0.253,,,,,
300.07,102.65,0.248,,,,,
300.07,110.11,0.229,,,,,
300.07,115.94,0.182,,,,,
300.07,118.74,0.167,,,,,
300.07,124.85,0.132,,,,,
300.07,126.91,0.111,,,,,
300.07,140.83,0.0,,,,,
