"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
280,200,0.0057,0.7375,0.03,1,0.002,0.002
280,400,0.0127,0.8589,0.03,1,0.002,0.002
280,600,0.0191,0.8984,0.03,1,0.002,0.002
280,800,0.025,0.9155,0.03,1,0.002,0.002
280,1000,0.0308,0.9248,0.03,1,0.002,0.002
280,1250,0.0382,0.9307,0.03,1,0.002,0.002
280,1500,0.0463,0.933,0.03,1,0.002,0.002
280,1750,0.055,0.9327,0.03,1,0.002,0.002
280,2000,0.0647,0.9303,0.03,1,0.002,0.002
280,2250,0.075,0.9263,0.03,1,0.002,0.002
280,2500,0.086,0.9213,0.03,1,0.002,0.002
280,2750,0.0978,0.9159,0.03,1,0.002,0.002
280,3000,0.1106,0.9104,0.03,1,0.002,0.002
280,3500,,0.8986,0.03,1,0.002,0.002
280,4000,,0.887,0.03,1,0.002,0.002
280,4500,,0.875,0.03,1,0.002,0.002
280,5000,,0.863,0.03,1,0.002,0.002
