"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
50,66.06,0.0466,0.1047,+-0.02,+-0.05,,
50,72.57,0.1349,0.2425,+-0.02,+-0.05,,
50,77.05,0.2592,0.3657,+-0.02,+-0.05,,
50,79.07,0.3323,0.4204,+-0.02,+-0.05,,
50,79.92,0.3727,0.4479,+-0.02,+-0.05,,
50,80.57,0.4285,0.4845,+-0.02,+-0.05,,
50,80.97,0.4612,0.5043,+-0.02,+-0.05,,
50,81.32,0.5225,0.5442,+-0.02,+-0.05,,
50,81.41,0.5576,0.5662,+-0.02,+-0.05,,
50,81.45,0.5773,0.5786,+-0.02,+-0.05,,
50,81.47,0.5801,0.5801,+-0.02,+-0.05,,
50,81.4,0.5957,0.5902,+-0.02,+-0.05,,
50,81.2,0.693,0.659,+-0.02,+-0.05,,
50,81.02,0.7063,0.6677,+-0.02,+-0.05,,
50,79.0,0.8564,0.8027,+-0.02,+-0.05,,
50,76.11,0.9246,0.8855,+-0.02,+-0.05,,
