"T, K","P, atm",X,Y,T Err,P Err,X Err,Y Err
450.05,1,0.0,0.0,+-0.1,+-0.1,,
448.85,1,0.0637,0.0893,+-0.1,+-0.1,,
448.25,1,0.0996,0.1373,+-0.1,+-0.1,,
447.75,1,0.1361,0.1836,+-0.1,+-0.1,,
447.35,1,0.1608,0.2134,+-0.1,+-0.1,,
446.95,1,0.1895,0.2479,+-0.1,+-0.1,,
445.85,1,0.273,0.3413,+-0.1,+-0.1,,
445.05,1,0.3418,0.414,+-0.1,+-0.1,,
444.75,1,0.3679,0.4409,+-0.1,+-0.1,,
444.15,1,0.4244,0.5,+-0.1,+-0.1,,
443.15,1,0.5134,0.5806,+-0.1,+-0.1,,
442.25,1,0.6089,0.6705,+-0.1,+-0.1,,
441.25,1,0.7189,0.7668,+-0.1,+-0.1,,
440.45,1,0.8256,0.8558,+-0.1,+-0.1,,
439.65,1,0.919,0.9333,+-0.1,+-0.1,,
439.25,1,0.9937,0.9949,+-0.1,+-0.1,,
439.15,1,1.0,1.0,+-0.1,+-0.1,,
