"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
50.0,1.652,0.0,0.0,+-0.1,+-0.2%,,
50.0,1.743,0.041,0.08,+-0.1,+-0.2%,,
50.0,1.949,0.174,0.272,+-0.1,+-0.2%,,
50.0,2.117,0.312,0.416,+-0.1,+-0.2%,,
50.0,2.157,0.375,0.452,+-0.1,+-0.2%,,
50.0,2.228,0.492,0.53,+-0.1,+-0.2%,,
50.0,2.252,0.595,0.613,+-0.1,+-0.2%,,
50.0,2.27,0.626,0.626,+-0.1,+-0.2%,,
50.0,2.259,0.665,0.644,+-0.1,+-0.2%,,
50.0,2.239,0.75,0.708,+-0.1,+-0.2%,,
50.0,2.187,0.851,0.783,+-0.1,+-0.2%,,
50.0,2.082,0.935,0.89,+-0.1,+-0.2%,,
50.0,2.082,0.935,0.89,+-0.1,+-0.2%,,
50.0,1.955,1.0,1.0,+-0.1,+-0.2%,,
