"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
-60.0,15.2,0.0,0.0,+-0.05,+-0.1,2%,2%
-60.0,16.6,0.0199,0.101,+-0.05,+-0.1,2%,2%
-60.0,18..8,0.044,0.213,+-0.05,+-0.1,2%,2%
-60.0,24.7,0.124,0.447,+-0.05,+-0.1,2%,2%
-60.0,30.2,0.199,0.587,+-0.05,+-0.1,2%,2%
-60.0,40.6,0.324,0.737,+-0.05,+-0.1,2%,2%
-60.0,51.1,0.458,0.825,+-0.05,+-0.1,2%,2%
-60.0,60.3,0.564,0.882,+-0.05,+-0.1,2%,2%
-60.0,70.0,0.688,0.924,+-0.05,+-0.1,2%,2%
-60.0,80.8,0.822,0.9609,+-0.05,+-0.1,2%,2%
-60.0,83.9,0.864,0.9694,+-0.05,+-0.1,2%,2%
-60.0,89.1,0.927,0.9822,+-0.05,+-0.1,2%,2%
-60.0,94.6,1.0,1.0,+-0.05,+-0.1,2%,2%
