"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
333.25,6.66,0.0,0.0,+-0.1,+-0.01,,
333.15,6.66,0.084,0.087,+-0.1,+-0.01,,
333.1,6.66,0.155,0.16,+-0.1,+-0.01,,
333.05,6.66,0.244,0.251,+-0.1,+-0.01,,
332.95,6.66,0.331,0.339,+-0.1,+-0.01,,
332.85,6.66,0.409,0.419,+-0.1,+-0.01,,
332.8,6.66,0.49,0.5,+-0.1,+-0.01,,
332.75,6.66,0.571,0.58,+-0.1,+-0.01,,
332.65,6.66,0.653,0.664,+-0.1,+-0.01,,
332.6,6.66,0.736,0.746,+-0.1,+-0.01,,
332.5,6.66,0.816,0.824,+-0.1,+-0.01,,
332.45,6.66,0.896,0.899,+-0.1,+-0.01,,
332.4,6.66,0.948,0.948,+-0.1,+-0.01,,
332.35,6.66,1.0,1.0,+-0.1,+-0.01,,
