"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
67.31,760,0.17,0.23,+-0.02,+-2,+-0.5%,+-0.5%
67.18,760,0.19,0.25,+-0.02,+-2,+-0.5%,+-0.5%
66.98,760,0.205,0.255,+-0.02,+-2,+-0.5%,+-0.5%
66.68,760,0.255,0.29,+-0.02,+-2,+-0.5%,+-0.5%
66.74,760,0.28,0.31,+-0.02,+-2,+-0.5%,+-0.5%
66.64,760,0.355,0.35,+-0.02,+-2,+-0.5%,+-0.5%
66.82,760,0.4,0.37,+-0.02,+-2,+-0.5%,+-0.5%
66.77,760,0.425,0.385,+-0.02,+-2,+-0.5%,+-0.5%
67.17,760,0.46,0.405,+-0.02,+-2,+-0.5%,+-0.5%
66.9,760,0.46,0.405,+-0.02,+-2,+-0.5%,+-0.5%
67.2,760,0.525,0.435,+-0.02,+-2,+-0.5%,+-0.5%
67.18,760,0.54,0.435,+-0.02,+-2,+-0.5%,+-0.5%
69.19,760,0.695,0.535,+-0.02,+-2,+-0.5%,+-0.5%
69.39,760,0.71,0.54,+-0.02,+-2,+-0.5%,+-0.5%
69.03,760,0.715,0.545,+-0.02,+-2,+-0.5%,+-0.5%
69.6,760,0.725,0.555,+-0.02,+-2,+-0.5%,+-0.5%
70.0,760,0.735,0.555,+-0.02,+-2,+-0.5%,+-0.5%
70.17,760,0.76,0.575,+-0.02,+-2,+-0.5%,+-0.5%
70.85,760,0.785,0.595,+-0.02,+-2,+-0.5%,+-0.5%
70.99,760,0.79,0.605,+-0.02,+-2,+-0.5%,+-0.5%
72.54,760,0.825,0.65,+-0.02,+-2,+-0.5%,+-0.5%
73.0,760,0.855,0.67,+-0.02,+-2,+-0.5%,+-0.5%
73.73,760,0.875,0.715,+-0.02,+-2,+-0.5%,+-0.5%
77.19,760,0.935,0.82,+-0.02,+-2,+-0.5%,+-0.5%
78.74,760,0.95,0.885,+-0.02,+-2,+-0.5%,+-0.5%
