"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
50.8,37.27,0.0,0.0,,,0.001,0.001
50.8,37.97,0.0255,0.0442,,,0.001,0.001
50.8,39.64,0.0807,0.1333,,,0.001,0.001
50.8,41.52,0.1452,0.23,,,0.001,0.001
50.7,42.0,0.1698,0.2627,,,0.001,0.001
50.8,47.2,0.3533,0.4835,,,0.001,0.001
50.8,49.74,0.4418,0.5755,,,0.001,0.001
50.8,52.16,0.5322,0.6582,,,0.001,0.001
50.8,57.56,0.7343,0.8194,,,0.001,0.001
50.8,59.5,0.8119,0.8762,,,0.001,0.001
50.7,60.9,0.8746,0.9189,,,0.001,0.001
50.7,62.59,0.9342,0.9584,,,0.001,0.001
50.8,64.31,1.0,1.0,,,0.001,0.001
