"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
-20.2,24.9,0.0,0.0,+-0.05,0.2%,,
-20.2,25.15,0.071,0.072,+-0.05,0.2%,,
-20.2,25.5,0.127,0.136,+-0.05,0.2%,,
-20.2,25.65,0.175,0.183,+-0.05,0.2%,,
-20.2,25.85,0.314,0.302,+-0.05,0.2%,,
-20.2,25.8,0.362,0.347,+-0.05,0.2%,,
-20.2,25.6,0.466,0.433,+-0.05,0.2%,,
-20.2,25.35,0.506,0.461,+-0.05,0.2%,,
-20.2,25.25,0.547,0.499,+-0.05,0.2%,,
-20.2,24.3,0.676,0.604,+-0.05,0.2%,,
-20.2,23.4,0.767,0.685,+-0.05,0.2%,,
-20.2,22.45,0.829,0.759,+-0.05,0.2%,,
-20.2,21.75,0.887,0.82,+-0.05,0.2%,,
-20.2,20.65,0.94,0.895,+-0.05,0.2%,,
-20.2,19.3,1.0,1.0,+-0.05,0.2%,,
