"T, K","P, psi",X,Y,T Err,P Err,X Err,Y Err
344.3,997,0.426,0.952,,,0.009,0.009
344.3,1101,0.481,0.947,,,0.009,0.009
344.3,1200,0.534,0.949,,,0.009,0.009
344.3,1300,0.596,0.946,,,0.009,0.009
344.3,1400,0.665,0.94,,,0.009,0.009
344.3,1450,0.704,0.935,,,0.009,0.009
344.3,1500,0.747,0.927,,,0.009,0.009
344.3,1525,0.766,0.923,,,0.009,0.009
344.3,1540,0.781,0.92,,,0.009,0.009
344.3,1550,0.792,0.916,,,0.009,0.009
344.3,1560,0.803,0.913,,,0.009,0.009
344.3,1570,0.815,0.908,,,0.009,0.009
344.3,1579,0.826,0.901,,,0.009,0.009
344.3,1586,0.84,0.896,,,0.009,0.009
344.3,1589,0.848,0.883,,,0.009,0.009
344.3,1590,0.88,0.88,,,0.009,0.009
