"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
433.07,33.33,0.0,0.0,0.1,+-0.13,,
415.23,33.33,0.1965,0.5566,0.1,+-0.13,,
413.5,33.33,0.236,0.5982,0.1,+-0.13,,
410.49,33.33,0.3253,0.6688,0.1,+-0.13,,
409.85,33.33,0.3667,0.6895,0.1,+-0.13,,
408.27,33.33,0.4325,0.728,0.1,+-0.13,,
407.6,33.33,0.4769,0.7418,0.1,+-0.13,,
407.22,33.33,0.5095,0.7577,0.1,+-0.13,,
405.95,33.33,0.5894,0.7883,0.1,+-0.13,,
404.88,33.33,0.73,0.8389,0.1,+-0.13,,
404.24,33.33,0.7719,0.8564,0.1,+-0.13,,
403.87,33.33,0.8028,0.8719,0.1,+-0.13,,
403.51,33.33,0.8944,0.9198,0.1,+-0.13,,
403.07,33.33,0.958,0.9628,0.1,+-0.13,,
402.39,33.33,1.0,1.0,0.1,+-0.13,,
