"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
303.15,8.86,1.0,,+-0.01,+-0.05,,
303.15,23.48,0.8779,,+-0.01,+-0.05,,
303.15,33.88,0.7916,,+-0.01,+-0.05,,
303.15,43.11,0.7188,,+-0.01,+-0.05,,
303.15,59.62,0.5959,,+-0.01,+-0.05,,
303.15,72.5,0.5014,,+-0.01,+-0.05,,
303.15,81.21,0.4385,,+-0.01,+-0.05,,
303.15,88.11,0.388,,+-0.01,+-0.05,,
303.15,94.13,0.3457,,+-0.01,+-0.05,,
303.15,102.86,0.2821,,+-0.01,+-0.05,,
303.15,109.28,0.2379,,+-0.01,+-0.05,,
303.15,116.79,0.1827,,+-0.01,+-0.05,,
303.15,124.71,0.126,,+-0.01,+-0.05,,
303.15,141.95,0.0,,+-0.01,+-0.05,,
