"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
350.0,14.0,0.0195,0.0941,+-0.025,+-0.03,,
350.0,16.04,0.0516,0.1962,+-0.025,+-0.03,,
350.0,19.91,0.1088,0.3418,+-0.025,+-0.03,,
350.0,23.07,0.1565,0.4101,+-0.025,+-0.03,,
350.0,26.47,0.2084,0.4769,+-0.025,+-0.03,,
350.0,31.52,0.2902,0.5443,+-0.025,+-0.03,,
350.0,36.52,0.3743,0.5899,+-0.025,+-0.03,,
350.0,41.62,0.4658,0.6219,+-0.025,+-0.03,,
350.0,45.01,0.546,0.6038,+-0.025,+-0.03,,
350.0,44.84,0.5354,0.6191,+-0.025,+-0.03,,
350.0,43.92,0.5114,0.6254,+-0.025,+-0.03,,
350.0,42.94,0.4908,0.6258,+-0.025,+-0.03,,
