"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
65.0,21.87,0.0,0.0,+- 0.01,,,
65.0,23.03,0.0168,0.0637,+- 0.01,,,
65.0,24.65,0.0421,0.1432,+- 0.01,,,
65.0,25.99,0.0666,0.202,+- 0.01,,,
65.0,26.2,0.0673,0.212,+- 0.01,,,
65.0,29.07,0.1261,0.3212,+- 0.01,,,
65.0,30.53,0.1618,0.3715,+- 0.01,,,
65.0,31.89,0.1971,0.4159,+- 0.01,,,
65.0,33.05,0.2338,0.4542,+- 0.01,,,
65.0,34.32,0.2801,0.495,+- 0.01,,,
65.0,35.69,0.3413,0.5385,+- 0.01,,,
65.0,36.87,0.4055,0.5784,+- 0.01,,,
65.0,37.31,0.4379,0.594,+- 0.01,,,
65.0,38.72,0.5781,0.6581,+- 0.01,,,
65.0,39.04,0.634,0.6835,+- 0.01,,,
65.0,39.24,0.712,0.7181,+- 0.01,,,
65.0,39.02,0.8067,0.7642,+- 0.01,,,
65.0,38.08,0.8973,0.825,+- 0.01,,,
65.0,36.15,0.9646,0.9093,+- 0.01,,,
65.0,33.87,1.0,1.0,+- 0.01,,,
