"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
74.7,141.9,0.0,0.0,+-0.1,+-0.5,,
74.7,144.4,0.01,0.035,+-0.1,+-0.5,,
74.7,148.9,0.02,0.082,+-0.1,+-0.5,,
74.7,163.7,0.05,0.18,+-0.1,+-0.5,,
74.7,174.2,0.072,0.245,+-0.1,+-0.5,,
74.7,190.1,0.1,0.325,+-0.1,+-0.5,,
74.7,225.6,0.19,0.49,+-0.1,+-0.5,,
74.7,238.6,0.228,0.535,+-0.1,+-0.5,,
74.7,256.2,0.285,0.59,+-0.1,+-0.5,,
74.7,270.0,0.34,0.65,+-0.1,+-0.5,,
74.7,285.8,0.405,0.675,+-0.1,+-0.5,,
74.7,298.3,0.495,0.728,+-0.1,+-0.5,,
74.7,311.7,0.565,0.76,+-0.1,+-0.5,,
74.7,324.1,0.675,0.805,+-0.1,+-0.5,,
74.7,337.5,0.768,0.86,+-0.1,+-0.5,,
74.7,347.6,0.855,0.905,+-0.1,+-0.5,,
74.7,354.6,0.92,0.93,+-0.1,+-0.5,,
74.7,361.7,1.0,1.0,+-0.1,+-0.5,,
