"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
340,13.49,0.0,0.0,0.3%,0.05%,0.002,0.002
340,50.0,0.0459,0.7147,0.3%,0.05%,0.002,0.002
340,100.0,0.1051,0.8469,0.3%,0.05%,0.002,0.002
340,150.0,0.1606,0.8914,0.3%,0.05%,0.002,0.002
340,200.0,0.2128,0.9128,0.3%,0.05%,0.002,0.002
340,300.0,0.3099,0.9343,0.3%,0.05%,0.002,0.002
340,400.0,0.3988,0.9427,0.3%,0.05%,0.002,0.002
340,600.0,0.5595,0.9463,0.3%,0.05%,0.002,0.002
340,800.0,0.7043,0.942,0.3%,0.05%,0.002,0.002
340,980.0,0.8673,0.8673,0.3%,0.05%,0.002,0.002
