"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
333.2,0.574,0.6068,,0.02,0.01,,
343.23,0.721,0.6068,,0.02,0.01,,
353.24,0.892,0.6068,,0.02,0.01,,
363.22,1.088,0.6068,,0.02,0.01,,
373.21,1.313,0.6068,,0.02,0.01,,
383.24,1.569,0.6068,,0.02,0.01,,
393.21,1.86,0.6068,,0.02,0.01,,
403.29,2.18,0.6068,,0.02,0.01,,
413.29,2.539,0.6068,,0.02,0.01,,
423.26,2.937,0.6068,,0.02,0.01,,
433.25,3.368,0.6068,,0.02,0.01,,
443.25,3.86,0.6068,,0.02,0.01,,
453.21,4.365,0.6068,,0.02,0.01,,
458.22,4.598,0.6068,,0.02,0.01,,
461.69,4.754,0.6068,,0.02,0.01,,
