"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
313.14,0.91,0.0529,0.9878,,,0.0005,0.0005
313.14,1.84,0.1009,0.9883,,,0.0005,0.0005
313.14,2.31,0.1418,0.9917,,,0.0005,0.0005
313.14,2.92,0.1718,0.9925,,,0.0005,0.0005
313.14,3.34,0.2135,0.9928,,,0.0005,0.0005
313.14,3.93,0.245,0.9941,,,0.0005,0.0005
313.14,4.5,0.3074,0.9939,,,0.0005,0.0005
313.14,4.97,0.3636,0.996,,,0.0005,0.0005
313.14,5.49,0.4117,0.9963,,,0.0005,0.0005
313.14,5.9,0.4697,0.9969,,,0.0005,0.0005
313.14,6.31,0.5268,0.9925,,,0.0005,0.0005
313.14,6.65,0.5881,0.9965,,,0.0005,0.0005
313.14,7.02,0.6356,0.9962,,,0.0005,0.0005
313.14,7.08,0.6678,0.9954,,,0.0005,0.0005
313.14,7.31,0.7155,0.9972,,,0.0005,0.0005
313.14,7.6,0.7607,0.9977,,,0.0005,0.0005
313.14,7.73,0.7999,0.9985,,,0.0005,0.0005
313.14,7.92,0.8208,0.9989,,,0.0005,0.0005
