"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
373.15,13.461,0.0,,+-0.01,+-0.003,,
373.15,13.448,0.0,,+-0.01,+-0.003,,
373.15,13.352,0.052,,+-0.01,+-0.003,,
373.15,13.16,0.1444,,+-0.01,+-0.003,,
373.15,12.922,0.2498,,+-0.01,+-0.003,,
373.15,12.674,0.3551,,+-0.01,+-0.003,,
373.15,12.413,0.4544,,+-0.01,+-0.003,,
373.15,12.14,0.552,,+-0.01,+-0.003,,
373.15,12.396,0.4649,,+-0.01,+-0.003,,
373.15,12.097,0.5678,,+-0.01,+-0.003,,
373.15,11.801,0.6634,,+-0.01,+-0.003,,
373.15,11.51,0.7531,,+-0.01,+-0.003,,
373.15,11.138,0.86,,+-0.01,+-0.003,,
373.15,10.807,0.9533,,+-0.01,+-0.003,,
373.15,10.614,1.0,,+-0.01,+-0.003,,
