"T, K","P, atm",X,Y,T Err,P Err,X Err,Y Err
260.0,16.8,0.0,0.0,,,,
260.0,18.1,0.0036,0.0523,,,,
260.0,20.59,0.0106,0.1375,,,,
260.0,22.55,0.0161,,,,,
260.0,25.63,0.0254,,,,,
260.0,35.36,0.0541,0.4065,,,,
260.0,44.88,0.0828,0.4823,,,,
260.0,65.05,0.1494,0.5541,,,,
260.0,75.2,0.1873,0.5653,,,,
260.0,84.27,0.2258,0.5632,,,,
260.0,93.8,0.2714,0.5473,,,,
