"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
422.82,1.312,0.151,,+-0.05,+-0.01,0.001,
433.15,1.666,0.151,,+-0.05,+-0.01,0.001,
443.35,2.076,0.151,,+-0.05,+-0.01,0.001,
453.45,2.551,0.151,,+-0.05,+-0.01,0.001,
463.34,3.092,0.151,,+-0.05,+-0.01,0.001,
472.66,3.672,0.151,,+-0.05,+-0.01,0.001,
482.86,4.388,0.151,,+-0.05,+-0.01,0.001,
492.38,5.133,0.151,,+-0.05,+-0.01,0.001,
502.59,6.018,0.151,,+-0.05,+-0.01,0.001,
512.21,6.92,0.151,,+-0.05,+-0.01,0.001,
521.96,7.835,0.151,,+-0.05,+-0.01,0.001,
531.98,8.632,0.151,,+-0.05,+-0.01,0.001,
534.32,8.659,0.151,,+-0.05,+-0.01,0.001,
535.85,8.7,0.151,,+-0.05,+-0.01,0.001,
