"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
313.15,16.639,0.0,0.0,0.01,,0.0003,0.0003
313.15,19.056,0.0637,0.1693,0.01,,0.0003,0.0003
313.15,20.338,0.1377,0.2634,0.01,,0.0003,0.0003
313.15,20.789,0.1751,0.2929,0.01,,0.0003,0.0003
313.15,20.905,0.2096,0.3175,0.01,,0.0003,0.0003
313.15,21.301,0.2922,0.3588,0.01,,0.0003,0.0003
313.15,21.376,0.357,0.386,0.01,,0.0003,0.0003
313.15,21.325,0.4684,0.428,0.01,,0.0003,0.0003
313.15,21.262,0.5168,0.4459,0.01,,0.0003,0.0003
313.15,21.045,0.6016,0.48,0.01,,0.0003,0.0003
313.15,19.66,0.7666,0.5811,0.01,,0.0003,0.0003
313.15,18.708,0.834,0.6443,0.01,,0.0003,0.0003
313.15,16.768,0.921,0.7741,0.01,,0.0003,0.0003
313.15,13.966,1.0,1.0,0.01,,0.0003,0.0003
