"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
60,211.0,0.0,0.0,,,,
60,229.1,0.005,0.082,,,,
60,245.78,0.01,0.147,,,,
60,294.64,0.03,0.297,,,,
60,318.61,0.05,0.356,,,,
60,347.43,0.1,0.419,,,,
60,362.44,0.15,0.452,,,,
60,373.32,0.2,0.474,,,,
60,384.23,0.3,0.507,,,,
60,391.83,0.4,0.534,,,,
60,395.3,0.5,0.558,,,,
60,396.17,0.6,0.583,,,,
60,393.29,0.7,0.614,,,,
60,384.11,0.8,0.661,,,,
60,375.54,0.85,0.693,,,,
60,361.39,0.9,0.741,,,,
60,335.93,0.95,0.826,,,,
60,311.31,0.98,0.913,,,,
60,300.92,0.99,0.952,,,,
60,289.17,1.0,1.0,,,,
