"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
200.0,96.4,0.0,,+-0.1,+-0.13,,
200.0,96.4,0.0465,,+-0.1,+-0.13,,
199.8,96.4,0.0924,,+-0.1,+-0.13,,
199.1,96.4,0.1559,,+-0.1,+-0.13,,
198.9,96.4,0.2061,,+-0.1,+-0.13,,
198.7,96.4,0.2414,,+-0.1,+-0.13,,
198.6,96.4,0.2812,,+-0.1,+-0.13,,
198.3,96.4,0.3439,,+-0.1,+-0.13,,
197.7,96.4,0.3815,,+-0.1,+-0.13,,
197.4,96.4,0.4392,,+-0.1,+-0.13,,
196.5,96.4,0.4981,,+-0.1,+-0.13,,
196.2,96.4,0.5302,,+-0.1,+-0.13,,
195.5,96.4,0.5624,,+-0.1,+-0.13,,
195.1,96.4,0.6057,,+-0.1,+-0.13,,
194.5,96.4,0.6662,,+-0.1,+-0.13,,
193.8,96.4,0.7078,,+-0.1,+-0.13,,
193.3,96.4,0.762,,+-0.1,+-0.13,,
192.9,96.4,0.7915,,+-0.1,+-0.13,,
192.5,96.4,0.8258,,+-0.1,+-0.13,,
191.6,96.4,0.8746,,+-0.1,+-0.13,,
190.7,96.4,0.9227,,+-0.1,+-0.13,,
189.2,96.4,1.0,,+-0.1,+-0.13,,
