"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
430.15,26.6,0.0,0.0,,0.03,0.005,0.005
424.25,26.6,0.038,0.215,,0.03,0.005,0.005
414.65,26.6,0.103,0.475,,0.03,0.005,0.005
403.75,26.6,0.217,0.677,,0.03,0.005,0.005
395.45,26.6,0.315,0.79,,0.03,0.005,0.005
389.35,26.6,0.437,0.86,,0.03,0.005,0.005
386.25,26.6,0.477,0.877,,0.03,0.005,0.005
384.85,26.6,0.502,0.895,,0.03,0.005,0.005
383.6,26.6,0.53,0.908,,0.03,0.005,0.005
380.75,26.6,0.597,0.923,,0.03,0.005,0.005
377.35,26.6,0.69,0.957,,0.03,0.005,0.005
373.75,26.6,0.795,0.973,,0.03,0.005,0.005
367.85,26.6,1.0,1.0,,0.03,0.005,0.005
