"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
125,84.91,0.0,0.0,0.01,0.1%,0.0002,0.0002
125,85.65,0.1,0.1057,0.01,0.1%,0.0002,0.0002
125,86.28,0.2,0.2088,0.01,0.1%,0.0002,0.0002
125,86.83,0.3,0.3099,0.01,0.1%,0.0002,0.0002
125,87.29,0.4,0.4096,0.01,0.1%,0.0002,0.0002
125,87.67,0.5,0.5082,0.01,0.1%,0.0002,0.0002
125,87.97,0.6,0.6063,0.01,0.1%,0.0002,0.0002
125,88.22,0.7,0.7042,0.01,0.1%,0.0002,0.0002
125,88.4,0.8,0.8024,0.01,0.1%,0.0002,0.0002
125,88.52,0.9,0.9009,0.01,0.1%,0.0002,0.0002
125,88.6,1.0,1.0,0.01,0.1%,0.0002,0.0002
