"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
80,217.0,0.0301,0.0661,+-0.015,,+-0.1%,+-0.1%
80,229.18,0.0763,0.1473,+-0.015,,+-0.1%,+-0.1%
80,240.21,0.1315,0.2277,+-0.015,,+-0.1%,+-0.1%
80,245.72,0.1703,0.2788,+-0.015,,+-0.1%,+-0.1%
80,251.58,0.2188,0.3237,+-0.015,,+-0.1%,+-0.1%
80,253.39,0.2372,0.3415,+-0.015,,+-0.1%,+-0.1%
80,255.31,0.2567,0.3583,+-0.015,,+-0.1%,+-0.1%
80,263.08,0.3537,0.4292,+-0.015,,+-0.1%,+-0.1%
80,264.62,0.3825,0.4545,+-0.015,,+-0.1%,+-0.1%
80,266.57,0.416,0.4773,+-0.015,,+-0.1%,+-0.1%
80,268.73,0.5003,0.533,+-0.015,,+-0.1%,+-0.1%
80,270.08,0.5683,0.5793,+-0.015,,+-0.1%,+-0.1%
80,270.5,0.6401,0.627,+-0.015,,+-0.1%,+-0.1%
80,270.09,0.689,0.6641,+-0.015,,+-0.1%,+-0.1%
80,269.53,0.719,0.6878,+-0.015,,+-0.1%,+-0.1%
80,269.19,0.7425,0.7065,+-0.015,,+-0.1%,+-0.1%
80,268.43,0.7657,0.7253,+-0.015,,+-0.1%,+-0.1%
80,266.69,0.797,0.7553,+-0.015,,+-0.1%,+-0.1%
80,265.44,0.8207,0.776,+-0.015,,+-0.1%,+-0.1%
80,261.9,0.86,0.8173,+-0.015,,+-0.1%,+-0.1%
80,253.51,0.9374,0.9087,+-0.015,,+-0.1%,+-0.1%
80,246.6,0.9797,0.9677,+-0.015,,+-0.1%,+-0.1%
