"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
50,6.684,1.0,,+-0.05,+-0.05,,
50,7.369,0.9716,,+-0.05,+-0.05,,
50,7.782,0.9546,,+-0.05,+-0.05,,
50,8.947,0.9066,,+-0.05,+-0.05,,
50,11.608,0.8019,,+-0.05,+-0.05,,
50,14.092,0.7023,,+-0.05,+-0.05,,
50,15.721,0.6327,,+-0.05,+-0.05,,
50,16.209,0.6094,,+-0.05,+-0.05,,
50,17.949,0.5344,,+-0.05,+-0.05,,
50,18.429,0.5099,,+-0.05,+-0.05,,
50,20.228,0.4276,,+-0.05,+-0.05,,
50,20.689,0.4105,,+-0.05,+-0.05,,
50,22.606,0.3242,,+-0.05,+-0.05,,
50,24.763,0.2149,,+-0.05,+-0.05,,
50,26.822,0.1134,,+-0.05,+-0.05,,
50,27.966,0.0579,,+-0.05,+-0.05,,
50,28.45,0.0368,,+-0.05,+-0.05,,
50,29.3,0.0,,+-0.05,+-0.05,,
