"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
40,53,0.033,0.6213,+-0.1,+-2,0.002,0.002
40,74,0.0317,0.7053,+-0.1,+-2,0.002,0.002
40,102,0.0547,0.7969,+-0.1,+-2,0.002,0.002
40,152,0.0768,0.8633,+-0.1,+-2,0.002,0.002
40,192,0.0887,0.8867,+-0.1,+-2,0.002,0.002
40,253,0.0914,0.9039,+-0.1,+-2,0.002,0.002
40,298,0.1157,0.914,+-0.1,+-2,0.002,0.002
40,341,0.1484,0.92,+-0.1,+-2,0.002,0.002
40,447,0.1806,0.942,+-0.1,+-2,0.002,0.002
40,449,0.2061,0.9282,+-0.1,+-2,0.002,0.002
40,515,0.1979,0.9312,+-0.1,+-2,0.002,0.002
40,584,0.2232,0.9424,+-0.1,+-2,0.002,0.002
40,640,0.2424,0.9432,+-0.1,+-2,0.002,0.002
40,735,0.2887,0.951,+-0.1,+-2,0.002,0.002
40,835,0.3139,0.9464,+-0.1,+-2,0.002,0.002
40,840,0.3193,0.9463,+-0.1,+-2,0.002,0.002
40,930,0.3453,0.9479,+-0.1,+-2,0.002,0.002
40,1060,0.3674,0.9456,+-0.1,+-2,0.002,0.002
40,1155,0.4245,0.9437,+-0.1,+-2,0.002,0.002
40,1285,0.4795,0.9381,+-0.1,+-2,0.002,0.002
40,1370,0.4842,0.9351,+-0.1,+-2,0.002,0.002
40,1480,0.5226,0.9321,+-0.1,+-2,0.002,0.002
40,1615,0.5641,0.9177,+-0.1,+-2,0.002,0.002
40,1685,0.5888,0.8937,+-0.1,+-2,0.002,0.002
40,1750,0.6369,0.9015,+-0.1,+-2,0.002,0.002
40,1770,0.6275,0.8862,+-0.1,+-2,0.002,0.002
40,1835,0.6898,0.8545,+-0.1,+-2,0.002,0.002
40,1905,0.7749,0.8171,+-0.1,+-2,0.002,0.002
40,1915,0.7953,0.7953,+-0.1,+-2,0.002,0.002
