"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
323.15,32.66,0.0359,0.069,+- 0.01,,,
323.15,33.33,0.0719,0.112,+- 0.01,,,
323.15,33.53,0.0933,0.13,+- 0.01,,,
323.15,33.69,0.1277,0.152,+- 0.01,,,
323.15,33.7,0.1587,0.167,+- 0.01,,,
323.15,33.56,0.2177,0.188,+- 0.01,,,
323.15,33.3,0.28,0.205,+- 0.01,,,
323.15,32.88,0.3567,0.223,+- 0.01,,,
323.15,32.44,0.4158,0.238,+- 0.01,,,
323.15,31.74,0.4892,0.252,+- 0.01,,,
323.15,30.66,0.5734,0.279,+- 0.01,,,
323.15,28.68,0.6775,0.319,+- 0.01,,,
323.15,27.89,0.7072,0.338,+- 0.01,,,
323.15,26.24,0.7599,0.366,+- 0.01,,,
323.15,24.37,0.8072,0.407,+- 0.01,,,
323.15,19.29,0.9019,0.565,+- 0.01,,,
323.15,14.03,0.9756,0.838,+- 0.01,,,
