"T, deg.C","P, bar",X,Y,T Err,P Err,X Err,Y Err
90.1,1.0413,0.05444,,+-0.1,,,
90.1,1.2121,0.11396,,+-0.1,,,
90.1,1.293,0.17001,,+-0.1,,,
90.1,1.3407,0.22053,,+-0.1,,,
90.1,1.3814,0.27556,,+-0.1,,,
90.1,1.4153,0.32859,,+-0.1,,,
90.1,1.362,0.24604,,+-0.1,,,
90.1,1.3951,0.29404,,+-0.1,,,
90.1,1.4232,0.34348,,+-0.1,,,
90.1,1.449,0.3917,,+-0.1,,,
90.1,1.4721,0.43922,,+-0.1,,,
90.1,1.4944,0.48771,,+-0.1,,,
90.1,1.5147,0.53597,,+-0.1,,,
90.1,1.5333,0.58487,,+-0.1,,,
90.1,1.5489,0.62981,,+-0.1,,,
90.1,1.5631,0.67564,,+-0.1,,,
90.1,1.5752,0.72155,,+-0.1,,,
90.1,1.5849,0.76903,,+-0.1,,,
90.1,1.5916,0.81658,,+-0.1,,,
90.1,1.5956,0.86455,,+-0.1,,,
90.1,1.5948,0.91231,,+-0.1,,,
90.1,1.5916,0.95921,,+-0.1,,,
90.1,1.5854,0.99755,,+-0.1,,,
