"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
458.64,6.66,0.0,0.0,0.1,+-0.133,0.001,0.001
456.68,6.66,0.0051,0.1321,0.1,+-0.133,0.001,0.001
448.56,6.66,0.0202,0.3222,0.1,+-0.133,0.001,0.001
444.35,6.66,0.0393,0.5781,0.1,+-0.133,0.001,0.001
431.17,6.66,0.0712,0.725,0.1,+-0.133,0.001,0.001
419.07,6.66,0.1231,0.8306,0.1,+-0.133,0.001,0.001
409.57,6.66,0.1893,0.9225,0.1,+-0.133,0.001,0.001
397.99,6.66,0.3503,0.9717,0.1,+-0.133,0.001,0.001
386.77,6.66,0.5145,0.9841,0.1,+-0.133,0.001,0.001
376.64,6.66,0.77,0.9932,0.1,+-0.133,0.001,0.001
373.79,6.66,1.0,1.0,0.1,+-0.133,0.001,0.001
