"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
80.5,1,0.945,0.97,+-0.1,,+-0.005,+-0.005
82.6,1,0.774,0.882,+-0.1,,+-0.005,+-0.005
83.4,1,0.725,0.852,+-0.1,,+-0.005,+-0.005
84.6,1,0.588,0.791,+-0.1,,+-0.005,+-0.005
86.2,1,0.485,0.715,+-0.1,,+-0.005,+-0.005
87.8,1,0.405,0.646,+-0.1,,+-0.005,+-0.005
90.6,1,0.27,0.497,+-0.1,,+-0.005,+-0.005
92.0,1,0.225,0.439,+-0.1,,+-0.005,+-0.005
93.5,1,0.175,0.364,+-0.1,,+-0.005,+-0.005
94.7,1,0.138,0.305,+-0.1,,+-0.005,+-0.005
95.7,1,0.108,0.238,+-0.1,,+-0.005,+-0.005
96.7,1,0.08,0.182,+-0.1,,+-0.005,+-0.005
98.3,1,0.036,0.092,+-0.1,,+-0.005,+-0.005
99.0,1,0.016,0.042,+-0.1,,+-0.005,+-0.005
