"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
75.0,16.49,0.0,0.0,,,,
75.0,17.26,0.0047,0.048,,,,
75.0,20.36,0.0254,0.2059,,,,
75.0,22.32,0.0403,0.2821,,,,
75.0,24.16,0.0556,0.3431,,,,
75.0,26.32,0.0729,0.4058,,,,
75.0,28.38,0.0924,0.4573,,,,
75.0,30.64,0.1178,0.5063,,,,
75.0,32.36,0.1394,0.5406,,,,
75.0,34.65,0.1723,0.5833,,,,
75.0,36.48,0.2001,0.6111,,,,
75.0,38.65,0.2393,0.644,,,,
75.0,39.81,0.2695,0.6657,,,,
75.0,41.97,0.3237,0.6963,,,,
75.0,43.88,0.3773,0.7199,,,,
75.0,45.5,0.4352,0.7414,,,,
75.0,46.9,0.4951,0.7607,,,,
75.0,48.07,0.5581,0.778,,,,
75.0,49.06,0.6196,0.7946,,,,
75.0,49.84,0.6988,0.8161,,,,
75.0,50.51,0.7736,0.835,,,,
75.0,50.8,0.8442,0.8589,,,,
75.0,50.66,0.9172,0.895,,,,
75.0,49.63,0.9751,0.9512,,,,
75.0,48.32,1.0,1.0,,,,
