"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
283.27,0.7,1.0,,+-0.02,+-0.01,+-0.05%,
283.27,1.63,0.9783,,+-0.02,+-0.01,+-0.05%,
283.27,1.63,0.9761,,+-0.02,+-0.01,+-0.05%,
283.27,2.14,0.9558,,+-0.02,+-0.01,+-0.05%,
283.27,2.86,0.9293,,+-0.02,+-0.01,+-0.05%,
283.27,3.66,0.8397,,+-0.02,+-0.01,+-0.05%,
283.27,3.83,0.7961,,+-0.02,+-0.01,+-0.05%,
283.27,4.06,0.7081,,+-0.02,+-0.01,+-0.05%,
283.27,4.15,0.6479,,+-0.02,+-0.01,+-0.05%,
283.27,4.23,0.5598,,+-0.02,+-0.01,+-0.05%,
283.27,4.24,0.5569,,+-0.02,+-0.01,+-0.05%,
283.27,4.24,0.5245,,+-0.02,+-0.01,+-0.05%,
283.27,4.32,0.3667,,+-0.02,+-0.01,+-0.05%,
283.27,4.33,0.2982,,+-0.02,+-0.01,+-0.05%,
283.27,4.32,0.2295,,+-0.02,+-0.01,+-0.05%,
283.27,4.31,0.2006,,+-0.02,+-0.01,+-0.05%,
283.27,4.35,0.1217,,+-0.02,+-0.01,+-0.05%,
283.27,4.31,0.092,,+-0.02,+-0.01,+-0.05%,
283.27,4.31,0.0664,,+-0.02,+-0.01,+-0.05%,
283.27,4.3,0.0614,,+-0.02,+-0.01,+-0.05%,
283.27,4.28,0.0348,,+-0.02,+-0.01,+-0.05%,
283.27,4.28,0.0255,,+-0.02,+-0.01,+-0.05%,
283.27,4.17,0.0,,+-0.02,+-0.01,+-0.05%,
