"T, deg.C","P, bar",X,Y,T Err,P Err,X Err,Y Err
25.3,0.08,0.0,,,,,
25.3,0.857,0.0566,,,,,
25.3,1.231,0.0963,,,,,
25.3,1.615,0.1602,,,,,
25.3,1.769,0.1987,,,,,
25.3,1.944,0.244,,,,,
25.3,2.094,0.2945,,,,,
25.3,2.279,0.3496,,,,,
25.3,2.203,0.3439,,,,,
25.3,2.323,0.3921,,,,,
25.3,2.313,0.3991,,,,,
25.3,2.365,0.441,,,,,
25.3,2.355,0.4541,,,,,
25.3,2.394,0.4898,,,,,
25.3,2.418,0.5383,,,,,
25.3,2.436,0.587,,,,,
25.3,2.451,0.6385,,,,,
25.3,2.464,0.6882,,,,,
25.3,2.476,0.738,,,,,
25.3,2.488,0.7886,,,,,
25.3,2.503,0.8427,,,,,
25.3,2.528,0.8936,,,,,
25.3,2.536,0.9484,,,,,
25.3,2.534,1.0,,,,,
