"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
308.15,19.141,0.0,,+-0.1,0.015,0.0003,
308.15,18.035,0.0593,,+-0.1,0.015,0.0003,
308.15,16.207,0.1769,,+-0.1,0.015,0.0003,
308.15,14.644,0.2868,,+-0.1,0.015,0.0003,
308.15,14.647,0.2966,,+-0.1,0.015,0.0003,
308.15,12.96,0.4153,,+-0.1,0.015,0.0003,
308.15,11.864,0.4949,,+-0.1,0.015,0.0003,
308.15,10.067,0.6097,,+-0.1,0.015,0.0003,
308.15,9.93,0.6142,,+-0.1,0.015,0.0003,
308.15,6.969,0.768,,+-0.1,0.015,0.0003,
308.15,3.993,0.8933,,+-0.1,0.015,0.0003,
308.15,2.568,0.938,,+-0.1,0.015,0.0003,
308.15,0.251,1.0,,+-0.1,0.015,0.0003,
