"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
82.9,760,0.02,0.022,,+-0.2,,
82.7,760,0.08,0.09,,+-0.2,,
82.5,760,0.14,0.156,,+-0.2,,
82.2,760,0.196,0.22,,+-0.2,,
81.9,760,0.257,0.288,,+-0.2,,
81.5,760,0.316,0.352,,+-0.2,,
81.1,760,0.376,0.417,,+-0.2,,
80.7,760,0.435,0.48,,+-0.2,,
80.4,760,0.482,0.53,,+-0.2,,
80.3,760,0.491,0.54,,+-0.2,,
79.9,760,0.545,0.594,,+-0.2,,
79.4,760,0.608,0.657,,+-0.2,,
79.0,760,0.669,0.714,,+-0.2,,
78.5,760,0.731,0.773,,+-0.2,,
78.1,760,0.792,0.827,,+-0.2,,
77.6,760,0.856,0.883,,+-0.2,,
77.2,760,0.918,0.935,,+-0.2,,
76.8,760,0.982,0.986,,+-0.2,,
