"T, K","P, Pa",X,Y,T Err,P Err,X Err,Y Err
298.48,89101,0.0928,,0.003,+-0.01,,
322.89,195901,0.0928,,0.003,+-0.01,,
298.47,81287,0.2054,,0.003,+-0.01,,
322.92,183138,0.2054,,0.003,+-0.01,,
298.47,73893,0.3082,,0.003,+-0.01,,
322.89,166730,0.3072,,0.003,+-0.01,,
298.46,67326,0.3981,,0.003,+-0.01,,
322.89,152227,0.3981,,0.003,+-0.01,,
298.46,63220,0.4551,,0.003,+-0.01,,
322.89,142352,0.4551,,0.003,+-0.01,,
