"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
80.34,760,0.045,0.068,+-0.02,,,
79.6,760,0.124,0.155,+-0.02,,,
79.66,760,0.134,0.163,+-0.02,,,
79.17,760,0.201,0.23,+-0.02,,,
78.88,760,0.256,0.273,+-0.02,,,
79.1,760,0.201,0.22,+-0.02,,,
76.74,760,0.791,0.805,+-0.02,,,
77.06,760,0.675,0.693,+-0.02,,,
77.07,760,0.685,0.696,+-0.02,,,
77.4,760,0.579,0.6,+-0.02,,,
77.53,760,0.54,0.569,+-0.02,,,
77.63,760,0.519,0.545,+-0.02,,,
78.06,760,0.412,0.436,+-0.02,,,
78.46,760,0.314,0.345,+-0.02,,,
78.8,760,0.26,0.285,+-0.02,,,
79.25,760,0.198,0.23,+-0.02,,,
79.54,760,0.146,0.171,+-0.02,,,
79.73,760,0.113,0.135,+-0.02,,,
78.07,760,0.404,0.427,+-0.02,,,
