"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
368.15,0.1607,0.0,0.0,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.1765,0.009,0.142,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.2137,0.025,0.267,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.2583,0.039,0.388,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.31,0.076,0.526,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.3597,0.125,0.594,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.383,0.159,0.623,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.4032,0.224,0.66,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.424,0.291,0.688,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.445,0.475,0.727,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.4551,0.657,0.77,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.4581,0.727,0.791,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.4601,0.79,0.817,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.457,0.869,0.859,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.4519,0.951,0.933,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.4484,0.969,0.957,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.4378,0.996,0.993,+-0.02,+-0.0002,+-0.002,+-0.002
368.15,0.4269,1.0,1.0,+-0.02,+-0.0002,+-0.002,+-0.002
