"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
343.15,40.57,0.0,0.0,+-0.01,+-0.013,,
343.15,44.79,0.058,0.144,+-0.01,+-0.013,,
343.15,55.02,0.203,0.401,+-0.01,+-0.013,,
343.15,69.0,0.427,0.645,+-0.01,+-0.013,,
343.15,74.25,0.515,0.716,+-0.01,+-0.013,,
343.15,76.38,0.552,0.742,+-0.01,+-0.013,,
343.15,77.26,0.565,0.753,+-0.01,+-0.013,,
343.15,81.39,0.64,0.803,+-0.01,+-0.013,,
343.15,85.11,0.71,0.843,+-0.01,+-0.013,,
343.15,86.58,0.733,0.864,+-0.01,+-0.013,,
343.15,96.06,0.911,0.953,+-0.01,+-0.013,,
343.15,100.99,1.0,1.0,+-0.01,+-0.013,,
