"T, deg.F","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
176.6,760,0.917,0.988,+-0.1,,+-0.003,+-0.003
180.2,760,0.826,0.978,+-0.1,,+-0.003,+-0.003
195.0,760,0.568,0.916,+-0.1,,+-0.003,+-0.003
215.2,760,0.325,0.797,+-0.1,,+-0.003,+-0.003
234.2,760,0.183,0.644,+-0.1,,+-0.003,+-0.003
266.4,760,0.0283,0.224,+-0.1,,+-0.003,+-0.003
247.1,760,0.112,0.499,+-0.1,,+-0.003,+-0.003
270.3,760,0.0152,0.125,+-0.1,,+-0.003,+-0.003
216.7,760,0.324,0.798,+-0.1,,+-0.003,+-0.003
207.7,760,0.41,0.852,+-0.1,,+-0.003,+-0.003
