"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
50.1,760,0.022,0.012,,+-0.2,,
51.2,760,0.082,0.046,,+-0.2,,
52.2,760,0.156,0.089,,+-0.2,,
53.6,760,0.225,0.13,,+-0.2,,
54.7,760,0.29,0.17,,+-0.2,,
55.9,760,0.359,0.215,,+-0.2,,
57.2,760,0.425,0.26,,+-0.2,,
58.6,760,0.495,0.309,,+-0.2,,
59.6,760,0.537,0.344,,+-0.2,,
60.2,760,0.563,0.365,,+-0.2,,
61.1,760,0.598,0.396,,+-0.2,,
62.7,760,0.656,0.451,,+-0.2,,
64.3,760,0.711,0.514,,+-0.2,,
66.2,760,0.766,0.578,,+-0.2,,
68.2,760,0.819,0.647,,+-0.2,,
70.5,760,0.874,0.732,,+-0.2,,
73.0,760,0.927,0.833,,+-0.2,,
75.6,760,0.98,0.949,,+-0.2,,
