"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
393.15,1.0,0.0238,0.99329,0.03,0.01,+-0.2,+-0.2
393.15,2.0,0.0449,0.99649,0.03,0.01,+-0.2,+-0.2
393.15,3.0,0.0704,0.99732,0.03,0.01,+-0.2,+-0.2
393.15,4.0,0.092,0.99764,0.03,0.01,+-0.2,+-0.2
393.15,5.0,0.118,0.99789,0.03,0.01,+-0.2,+-0.2
393.15,6.0,0.141,0.99771,0.03,0.01,+-0.2,+-0.2
393.15,9.0,0.214,0.99653,0.03,0.01,+-0.2,+-0.2
393.15,12.0,0.286,0.99517,0.03,0.01,+-0.2,+-0.2
393.15,15.0,0.337,0.99271,0.03,0.01,+-0.2,+-0.2
393.15,19.0,0.416,0.9855,0.03,0.01,+-0.2,+-0.2
