"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
318.15,23.278,0.025,0.58,0.05,0.02,0.002,0.002
318.15,34.451,0.082,0.728,0.05,0.02,0.002,0.002
318.15,40.437,0.183,0.771,0.05,0.02,0.002,0.002
318.15,42.063,0.251,0.79,0.05,0.02,0.002,0.002
318.15,43.823,0.394,0.795,0.05,0.02,0.002,0.002
318.15,44.356,0.498,0.807,0.05,0.02,0.002,0.002
318.15,45.156,0.558,0.809,0.05,0.02,0.002,0.002
318.15,45.303,0.625,0.811,0.05,0.02,0.002,0.002
318.15,45.876,0.764,0.833,0.05,0.02,0.002,0.002
318.15,46.556,0.867,0.867,0.05,0.02,0.002,0.002
318.15,45.503,0.96,0.935,0.05,0.02,0.002,0.002
