"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
63.5,760,0.021,0.016,,+-0.2,,
64.0,760,0.081,0.063,,+-0.2,,
64.5,760,0.145,0.115,,+-0.2,,
65.0,760,0.209,0.165,,+-0.2,,
65.5,760,0.268,0.213,,+-0.2,,
66.1,760,0.333,0.265,,+-0.2,,
66.7,760,0.398,0.319,,+-0.2,,
67.4,760,0.462,0.375,,+-0.2,,
68.0,760,0.511,0.418,,+-0.2,,
68.1,760,0.526,0.432,,+-0.2,,
68.7,760,0.57,0.472,,+-0.2,,
69.5,760,0.632,0.531,,+-0.2,,
70.4,760,0.69,0.59,,+-0.2,,
71.4,760,0.749,0.653,,+-0.2,,
72.4,760,0.806,0.72,,+-0.2,,
73.6,760,0.864,0.792,,+-0.2,,
74.8,760,0.922,0.873,,+-0.2,,
76.2,760,0.978,0.963,,+-0.2,,
