"T, deg.C","P, psi",X,Y,T Err,P Err,X Err,Y Err
125.0,107,0.0,0.0,+-0.1,+-0.001,,
125.0,134,0.0162,0.2228,+-0.1,+-0.001,,
125.0,220,0.0631,0.5339,+-0.1,+-0.001,,
125.0,311,0.1102,0.6799,+-0.1,+-0.001,,
125.0,444,0.1922,0.7665,+-0.1,+-0.001,,
125.0,688,0.3437,0.842,+-0.1,+-0.001,,
125.0,856,0.4354,0.8741,+-0.1,+-0.001,,
125.0,1034,0.5591,0.8871,+-0.1,+-0.001,,
125.0,1203,0.683,0.8978,+-0.1,+-0.001,,
125.0,1312,0.7621,0.9025,+-0.1,+-0.001,,
125.0,1348,0.7839,0.9037,+-0.1,+-0.001,,
125.0,1418,0.8383,0.9033,+-0.1,+-0.001,,
125.0,1446,0.8606,0.9001,+-0.1,+-0.001,,
125.0,1458,0.882,0.882,+-0.1,+-0.001,,
