"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
63.1,99.8,0.931,0.902,0.1,0.5,0.001,0.001
62.8,99.9,0.89,0.858,0.1,0.5,0.001,0.001
62.6,99.8,0.858,0.828,0.1,0.5,0.001,0.001
62.5,100.1,0.815,0.794,0.1,0.5,0.001,0.001
62.5,100.1,0.774,0.766,0.1,0.5,0.001,0.001
62.5,100.1,0.702,0.724,0.1,0.5,0.001,0.001
62.6,100.2,0.681,0.713,0.1,0.5,0.001,0.001
62.7,100.2,0.62,0.684,0.1,0.5,0.001,0.001
63.1,100.3,0.556,0.656,0.1,0.5,0.001,0.001
63.4,100.3,0.494,0.628,0.1,0.5,0.001,0.001
63.6,100.1,0.467,0.616,0.1,0.5,0.001,0.001
64.6,100.2,0.359,0.566,0.1,0.5,0.001,0.001
64.8,100.4,0.364,0.563,0.1,0.5,0.001,0.001
66.3,100.2,0.26,0.499,0.1,0.5,0.001,0.001
66.5,100.3,0.253,0.493,0.1,0.5,0.001,0.001
67.8,100.2,0.202,0.447,0.1,0.5,0.001,0.001
69.4,100.2,0.155,0.394,0.1,0.5,0.001,0.001
74.2,100.2,0.066,0.231,0.1,0.5,0.001,0.001
74.4,100.3,0.064,0.226,0.1,0.5,0.001,0.001
