"T, deg.C","P, bar",X,Y,T Err,P Err,X Err,Y Err
50.0,7.02,0.0,0.0,,,,
50.0,7.13,0.0115,0.0114,,,,
50.0,7.18,0.0464,0.053,,,,
50.0,7.2,0.0916,0.0998,,,,
50.0,7.22,0.1339,0.1397,,,,
50.0,7.24,0.2177,0.215,,,,
50.0,7.22,0.2615,0.2528,,,,
50.0,7.19,0.2997,0.2865,,,,
50.0,7.07,0.4362,0.3912,,,,
50.0,6.91,0.5337,0.4661,,,,
50.0,6.75,0.6111,0.5265,,,,
50.0,6.41,0.7195,0.6168,,,,
50.0,6.09,0.8235,0.7272,,,,
50.0,5.73,0.8869,0.8109,,,,
50.0,5.44,0.9398,0.8877,,,,
50.0,5.18,0.9759,0.9525,,,,
50.0,4.98,1.0,1.0,,,,
