"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
50.3,0.203,1.0,,+-0.05,+-0.05,,
50.3,14.235,0.957,,+-0.05,+-0.05,,
50.3,19.897,0.9321,,+-0.05,+-0.05,,
50.3,25.521,0.9,,+-0.05,+-0.05,,
50.3,35.085,0.8139,,+-0.05,+-0.05,,
50.3,42.217,0.6665,,+-0.05,+-0.05,,
50.3,44.186,0.6022,,+-0.05,+-0.05,,
50.3,44.995,0.5645,,+-0.05,+-0.05,,
50.3,46.14,0.5039,,+-0.05,+-0.05,,
50.3,46.255,0.4979,,+-0.05,+-0.05,,
50.3,47.717,0.4013,,+-0.05,+-0.05,,
50.3,47.859,0.396,,+-0.05,+-0.05,,
50.3,49.111,0.3004,,+-0.05,+-0.05,,
50.3,50.569,0.2016,,+-0.05,+-0.05,,
50.3,52.608,0.1013,,+-0.05,+-0.05,,
50.3,53.7,0.0634,,+-0.05,+-0.05,,
50.3,54.881,0.0336,,+-0.05,+-0.05,,
50.3,56.421,0.0,,+-0.05,+-0.05,,
