"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
69.9,650,1.0,1.0,+-0.1,1,0.002,0.002
71.7,650,0.934,0.986,+-0.1,1,0.002,0.002
73.7,650,0.852,0.973,+-0.1,1,0.002,0.002
75.8,650,0.765,0.928,+-0.1,1,0.002,0.002
81.3,650,0.564,0.905,+-0.1,1,0.002,0.002
83.4,650,0.506,0.88,+-0.1,1,0.002,0.002
87.1,650,0.418,0.845,+-0.1,1,0.002,0.002
91.4,650,0.336,0.791,+-0.1,1,0.002,0.002
98.9,650,0.217,0.681,+-0.1,1,0.002,0.002
104.5,650,0.155,0.581,+-0.1,1,0.002,0.002
108.3,650,0.119,0.507,+-0.1,1,0.002,0.002
112.1,650,0.085,0.425,+-0.1,1,0.002,0.002
115.0,650,0.065,0.359,+-0.1,1,0.002,0.002
118.0,650,0.045,0.274,+-0.1,1,0.002,0.002
120.6,650,0.032,0.19,+-0.1,1,0.002,0.002
122.4,650,0.018,0.125,+-0.1,1,0.002,0.002
125.8,650,0.0,0.0,+-0.1,1,0.002,0.002
