"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
-170.0,239.0,0.0,0.0,0-0.1%,0-1%,0-1%,0-1%
-170.0,250.0,0.00975,0.04452,0-0.1%,0-1%,0-1%,0-1%
-170.0,276.5,0.02968,0.1221,0-0.1%,0-1%,0-1%,0-1%
-170.0,301.0,0.04895,0.1835,0-0.1%,0-1%,0-1%,0-1%
-170.0,358.0,0.09572,0.2986,0-0.1%,0-1%,0-1%,0-1%
-170.0,394.5,0.1257,0.3471,0-0.1%,0-1%,0-1%,0-1%
-170.0,455.0,0.1774,0.413,0-0.1%,0-1%,0-1%,0-1%
-170.0,526.0,0.2457,0.4671,0-0.1%,0-1%,0-1%,0-1%
-170.0,598.0,0.3128,0.5131,0-0.1%,0-1%,0-1%,0-1%
-170.0,647.0,0.3683,0.5284,0-0.1%,0-1%,0-1%,0-1%
-170.0,701.0,0.4382,0.5296,0-0.1%,0-1%,0-1%,0-1%
-170.0,709.0,0.4514,0.5181,0-0.1%,0-1%,0-1%,0-1%
-170.0,710.0,0.4527,0.5178,0-0.1%,0-1%,0-1%,0-1%
-170.0,718.0,0.486,,0-0.1%,0-1%,0-1%,0-1%
