"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
85.0,5.09,0.0,0.0,+-0.01,,,
85.0,14.08,0.0608,0.658,+-0.01,,,
85.0,22.38,0.2928,0.8034,+-0.01,,,
85.0,24.23,0.4427,0.8291,+-0.01,,,
85.0,25.75,0.6287,0.8546,+-0.01,,,
85.0,26.41,0.7244,0.8709,+-0.01,,,
85.0,27.02,0.8209,0.8936,+-0.01,,,
85.0,27.29,0.8685,0.9098,+-0.01,,,
85.0,27.52,0.9161,0.9542,+-0.01,,,
85.0,27.6,0.9509,0.9319,+-0.01,,,
85.0,27.63,0.9706,0.9705,+-0.01,,,
85.0,27.6,0.9855,0.9847,+-0.01,,,
85.0,27.59,0.9957,0.9964,+-0.01,,,
85.0,27.58,1.0,1.0,+-0.01,,,
