"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
318.16,12.71,1.0,,,,,
318.16,41.12,0.923,,,,,
318.16,44.07,0.913,,,,,
318.16,63.37,0.848,,,,,
318.16,64.46,0.84,,,,,
318.16,69.92,0.822,,,,,
318.16,81.35,0.773,,,,,
318.16,89.81,0.744,,,,,
318.16,95.21,0.725,,,,,
318.16,97.89,0.717,,,,,
318.16,111.72,0.656,,,,,
318.16,117.23,0.64,,,,,
318.16,117.86,0.633,,,,,
318.16,122.42,0.622,,,,,
318.16,133.3,0.579,,,,,
318.16,132.51,0.579,,,,,
318.16,139.51,0.566,,,,,
318.16,154.61,0.513,,,,,
318.16,162.73,0.474,,,,,
318.16,168.51,0.469,,,,,
318.16,181.62,0.435,,,,,
318.16,184.75,0.429,,,,,
318.16,198.16,0.386,,,,,
318.16,202.14,0.354,,,,,
318.16,214.01,0.348,,,,,
318.16,207.85,0.346,,,,,
318.16,249.77,0.253,,,,,
318.16,243.26,0.248,,,,,
318.16,260.84,0.229,,,,,
318.16,274.94,0.182,,,,,
318.16,280.86,0.167,,,,,
318.16,295.61,0.132,,,,,
318.16,300.13,0.111,,,,,
318.16,334.1,0.0,,,,,
