"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
96.9,730,0.015,0.133,+-0.05,,,
93.1,730,0.026,0.228,+-0.05,,,
89.1,730,0.048,0.334,+-0.05,,,
84.8,730,0.075,0.429,+-0.05,,,
82.1,730,0.096,0.484,+-0.05,,,
77.9,730,0.152,0.57,+-0.05,,,
72.9,730,0.254,0.673,+-0.05,,,
71.1,730,0.314,0.704,+-0.05,,,
68.2,730,0.426,0.747,+-0.05,,,
67.3,730,0.493,0.761,+-0.05,,,
65.6,730,0.678,0.818,+-0.05,,,
65.1,730,0.747,0.838,+-0.05,,,
65.0,730,0.813,0.864,+-0.05,,,
64.6,730,0.886,0.901,+-0.05,,,
64.5,730,0.914,0.921,+-0.05,,,
64.4,730,0.96,0.956,+-0.05,,,
64.5,730,0.994,0.993,+-0.05,,,
