"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
90.0,12.9,0.0,0.0,,,,
90.0,13.47,0.0103,0.0473,,,,
90.0,14.35,0.0291,0.1206,,,,
90.0,15.88,0.0629,0.2309,,,,
90.0,17.65,0.1105,0.341,,,,
90.0,19.62,0.1733,0.4414,,,,
90.0,20.93,0.2222,0.5074,,,,
90.0,21.48,0.245,0.5339,,,,
90.0,23.05,0.3143,0.5956,,,,
90.0,24.46,0.3906,0.6497,,,,
90.0,25.84,0.472,0.69991,,,,
90.0,27.13,0.5601,0.7481,,,,
90.0,28.24,0.6536,0.7947,,,,
90.0,29.33,0.7491,0.8399,,,,
90.0,30.16,0.8287,0.879,,,,
90.0,30.69,0.8899,0.9217,,,,
90.0,31.1,0.9409,0.9556,,,,
90.0,31.3,0.9771,0.9811,,,,
90.0,31.47,1.0,1.0,,,,
