"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
370.15,30.0,0.0,0.0,0.1,0.01,0.001,0.001
369.45,30.0,0.055,0.082,0.1,0.01,0.001,0.001
368.65,30.0,0.114,0.175,0.1,0.01,0.001,0.001
367.85,30.0,0.179,0.254,0.1,0.01,0.001,0.001
367.05,30.0,0.236,0.334,0.1,0.01,0.001,0.001
366.45,30.0,0.286,0.399,0.1,0.01,0.001,0.001
365.85,30.0,0.351,0.461,0.1,0.01,0.001,0.001
364.95,30.0,0.438,0.556,0.1,0.01,0.001,0.001
364.05,30.0,0.518,0.629,0.1,0.01,0.001,0.001
363.35,30.0,0.593,0.688,0.1,0.01,0.001,0.001
362.75,30.0,0.65,0.752,0.1,0.01,0.001,0.001
362.05,30.0,0.729,0.811,0.1,0.01,0.001,0.001
361.35,30.0,0.797,0.863,0.1,0.01,0.001,0.001
360.85,30.0,0.858,0.905,0.1,0.01,0.001,0.001
360.45,30.0,0.899,0.936,0.1,0.01,0.001,0.001
360.05,30.0,0.941,0.964,0.1,0.01,0.001,0.001
359.85,30.0,0.969,0.982,0.1,0.01,0.001,0.001
359.65,30.0,1.0,1.0,0.1,0.01,0.001,0.001
